year,Zip Code,Number of Crimes,Crime Rate
2017,78753,8640,7.9618127868187765
2017,78754,1337,1.232053668515822
2017,78756,872,0.8035533275585618
2017,78757,2331,2.148030741443816
2017,78758,7960,7.335188632300632
2017,78759,3193,2.9423690079065223
2018,78610,3,0.0029722981809535134
2018,78613,565,0.5597828240795784
2018,78617,900,0.891689454286054
2018,78641,3,0.0029722981809535134
2018,78652,36,0.03566757817144216
2018,78653,141,0.13969801450481512
2018,78660,609,0.6033765307335631
2018,78664,2,0.0019815321206356758
2018,78681,5,0.004953830301589189
2018,78701,7048,6.98291919312012
2018,78702,4794,4.749732493163714
2018,78703,1566,1.551539650457734
2018,78704,6472,6.412237942377046
2018,78705,2111,2.0915071533309555
2018,78712,17,0.01684302302540324
2018,78717,863,0.855031110054294
2018,78719,665,0.658859430111362
2018,78721,1744,1.7278960091943092
2018,78722,799,0.7916220821939524
2018,78723,5640,5.587920580192605
2018,78724,1829,1.8121111243213255
2018,78725,155,0.15356873934926485
2018,78726,610,0.604367296793881
2018,78727,1596,1.581262632267269
2018,78728,55,0.054492133317481074
2018,78729,1746,1.7298775413149448
2018,78730,207,0.20508857448579243
2018,78731,1163,1.1522609281496452
2018,78732,9,0.00891689454286054
2018,78733,7,0.006935362422224864
2018,78734,2,0.0019815321206356758
2018,78735,804,0.7965759124955415
2018,78736,229,0.22688542781278484
2018,78737,9,0.00891689454286054
2018,78738,3,0.0029722981809535134
2018,78739,301,0.29822058415566916
2018,78741,8122,8.04700194190148
2018,78742,139,0.13771648238417944
2018,78744,5713,5.6602465025958075
2018,78745,6415,6.355764276938928
2018,78746,1486,1.4722783656323069
2018,78747,729,0.7222684579717037
2018,78748,3531,3.498394958982285
2018,78749,1853,1.8358895097689534
2018,78750,1265,1.2533190663020648
2018,78751,2493,2.4699797883723695
2018,78752,3573,3.5400071335156347
2018,78753,7772,7.700233820790235
2018,78754,1230,1.2186422541909405
2018,78756,711,0.7044346688859827
2018,78757,2462,2.439266040502517
2018,78758,7509,7.439662346926644
2018,78759,3221,3.191257480283755
